name,city,country,address,contact_email,contact_phone,website_url,logo_url
Сдружение ВК Кирково 15,,Bulgaria,"ул. ""Георги Кирков"" № 4",dinko_mm@abv.bg,0886429468,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Спартак 1996,,Bulgaria,"ул. ""Кала тепе"" № 3, Спортен комплекс ""Спартак""",spartakpleven1996@abv.bg,0878273727,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЗАГОРЕЦ,,Bulgaria,"ж.к. Загоре 10, вх. В, ет. 1, ап. 2",ross_2@abv.bg,0876666695,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК АХИЛ - ВОЛЕЙ,,Bulgaria,"ж.к. Дружба, бл. 257, вх. Б, ап. 35",ahilvolley@gmail.com,0885604197,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК  Академик волей,,Bulgaria,"ж.к. Гео Милев, бл. 3, вх. Б",akademik.volley@abv.bg,0876838837,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВА ВОЛЕЙБОЛНА АКАДЕМИЯ СТОЙЧЕВ - КАЗИЙСКИ,,Bulgaria,"ул. ""Кораб планина"" № 8-10, ет. 2",info@volleyacademy.bg;sk@volleyacademy.bg,0899972777,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Ракитово Волей,,Bulgaria,"ул. ""Христо Ботев"" № 37",rakitovovolley@gmail.com,0895754330,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Бургас Волей - 2009,,Bulgaria,"ж. к. Изгрев, бл. 91, вх. 1, ет. 2, ап. 8",kavraka@abv.bg,0898551238,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Драгоман,,Bulgaria,"ул. ""6-ти Септември"" № 1",contact@vcdragoman.com,0895797598,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК БДИН - ВИДА,,Bulgaria,"ул. ""Пазарска"" 6, Спортна зала ""Фестивална""",sn.gecheva@abv.bg,0896651738,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Казанлък,,Bulgaria,"ул. ""Орешака"" № 80, Спортна зала ""Багира""",kazanlakvolley@abv.bg,0888879591,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Сливен,,Bulgaria,"кв. Клуцохор, бл. 12, вх. Д, ап.9",vcsliven@mail.bg,0879978811,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Хаштаг - Бургас,,Bulgaria,"ж.к. ""Възраждане"", бл. 6, вх. А, ет. 4, ап. 8",hashtagburgas2020@gmail.com,0884741401,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ ХЕБЪР 24 - ПАЗАРДЖИК,,Bulgaria,"ул. ""Цар Освободител"" № 105",vidka_doncheva@abv.bg,0878928989,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СВК Чавдар - 1932,,Bulgaria,"ул. ""Сребрена"" № 2",milka65@abv.bg; chavdarvolley.@abv.bg,0887701107,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Град,,Bulgaria,"ул. ""Васил Левски"" № 1, вх. A, ет. 1, ап. 2",krasen_hristov@abv.bg,0887572365,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СВК Изгрев,,Bulgaria,"Спортна зала, Ул. „Бачо Киро” № 5,",izgrev1983@abv.bg,0878563404,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Перун Варна,,Bulgaria,"ж. к. Възраждане, бл. 52, вх. 1, ет. 8, ап. 21",djsi@mail.bg,0898468268,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Левски София,,Bulgaria,"ж.к. Надежда 2, бл. 211, вх. А, ет. 3, ап. 9, Спортна зала Левски София, ул. ""Донка Ушлинова"" 2",office@levskivc.bg,0884375931,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ВОЛЕЙБОЛЕН КЛУБ СЛАВЕЙКОВ,,Bulgaria,"ул. ""Иван Вазов"" № 16, ет. 2, ап. 3",vkslaveikov@gmail.com,0894240557,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК ГРЪМ В РАЯ,,Bulgaria,"ул. ""Ил. Макариополски"" №21",lyubo.apostolov@yahoo.com,0887145823,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Тетевен Волей,,Bulgaria,"ул. ""Трети март"" № 33",club@tetevenvolley.com,0887562066,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Асеновград,,Bulgaria,"ул. ""Рилска"" №40",asvolley@abv.bg,0893816388,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ ВОЛЕЙБОЛ СЛАВИЯ 2017,,Bulgaria,"бул. ""Цар Борис III"" № 128",volleyslavia@gmail.com,0898495050,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ВОЛЕЙБОЛЕН КЛУБ РОДИНА-СУВОРОВО,,Bulgaria,"ул. ""Шипка"" №30",b_boycheva@abv.bg,0897336483,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК СИМЕОНОВИ СУПЕР ВОЛЕЙ,,Bulgaria,"ж.к. Сухата река, ул. ""Тодорини кукли"", бл. 96А, вх. А, ет. 6, ап. 17",simeonova.i@yahoo.com,0885427950,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ВАРНА - ДКС,,Bulgaria,"бул. ""Княз Борис I"" №115",varna-dks@abv.bg,0886222325,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Йоан Екзарх Български - Шумен 05,,Bulgaria,"бул. ""Симеон Велики"" № 40, Спортна зала ""Младост""",terraagro_bg@abv.bg,0895700349,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение УВК Хектор,,Bulgaria,"ул. ""Бигла"" № 52, НПМГ “Академик Любомир Чакалов”, ЖК Лозенец",usk_hector@abv.bg,0884733911,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК МЕДИУС ВОЛЕЙ,,Bulgaria,"ул. ""Соколова скала"" № 4",stoqn_lubenov@abv.bg,0988874077,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение КВ Родопа - Смолян,,Bulgaria,"ул. ""Димитър Благоев"" № 22",skvrodopa@abv.bg,0878441541,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Ерма 96,,Bulgaria,"ул. ""Партизан"" № 16",vcerma96@mail.bg,0885494414,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Владимир Николов,,Bulgaria,"ж.к. Надежда, бл. 211, вх. А, ап. 9",vladovolleyschool@gmail.com;stefan.cholakov@yahoo.com,0888956171,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Тополово,,Bulgaria,"ул ""Отец Паисий"" № 27",xristina.72@abv.bg,0894394141,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК АРДА 2022,,Bulgaria,"ул.""Родопи"" № 37, спортна зала Аспезос",niki_volley@abv.bg,0888690829,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Олимпиец,,Bulgaria,"ул. ""Васил Априлов"" № 49, ет. 1, ап. 1",stefka.velikova@abv.bg velikovdarin6@gmail.com,0888318312,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Самоков - 2009,,Bulgaria,"ул. ""Софийско шосе"" № 26",andreyyanchev@gmail.com,0883301175,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СВК Звезди 94,,Bulgaria,"81 СУ ""Виктор Юго"", ул. ""Бъднина"" 3, жк. ""Младост"" 3",zvezdi94@abv.bg,0887075992,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЦЕНТРАЛЕН ПОЛИЦЕЙСКИ ВОЛЕЙБОЛЕН КЛУБ,,Bulgaria,"ул. ""Балша"" № 18, Стадион ""Раковски""",info@cpvc-volley.com,0896804161,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Русе Волей клуб,,Bulgaria,"ул. ""Драма"" № 13",stiliyan@abv.bg,0887434595,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Родина - Суворово,,Bulgaria,"ул. ""Шипка"" №30",b_boycheva@abv.bg,0897336483,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЛЮЛИН,,Bulgaria,"ж.к. Люлин 4, бл. 417, вх. А, ет. 5, ап. 10, 90 СУ Люлин",lulinvolley@abv.bg,0879171733,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Попово 09,,Bulgaria,"ж. к. Русаля, бл. 22, ет. 1, ап. 2",vkpopovo09@abv.bg,0878223675,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СВК Велики Преслав,,Bulgaria,"ул. ""Стадиона"" № 1",vk_velikipreslav@abv.bg,0894526765,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Пирдоп,,Bulgaria,"ул. ""Г. Бенковски"", Спортна зала СУ Саво Савов",ckvpirdop@gmail.com,0888577554,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Виктория Волей,,Bulgaria,бул. Цариградско шосе 112,kiril_donev@hotmail.com,0878777407,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Великани,,Bulgaria,"ул. ""Морава"" 11 ет. 2  ап. 2",skvelikani@gmail.com,0893575393,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Черноломец - Попово 98,,Bulgaria,"ул. ""Панайот Волов"" № 8",chernolomec@abv.bg,0887663406,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ВОЛЕЙБОЛЕН КЛУБ НЕСЕБЪР ВОЛЕЙ,,Bulgaria,"ж.к. Младост, бл. 52, ет. 4, ап. 14",nesebar.volley@gmail.com,0887477280,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Лудогорец,,Bulgaria,"ул. ""Кирил и Методий"" № 1, ап. 15",zdushkov@yahoo.com,0887744893,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Локомотив АВИА,,Bulgaria,"ж.к. Беломорски, ул. ""Беломорска"" №65",lokomotiv_volley@abv.bg,0897858095,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Велинград Волей,,Bulgaria,"ул. ""Христо Смирненски"" № 77А",dim.sankev1@abv.bg,0897997250,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Сливнишки герой,,Bulgaria,"ул. ""Паисий Хилендарски"" № 88",martinstoev@abv.bg;alexandar_petkov@abv.bg,0886398538,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Странджа,,Bulgaria,"ул. ""Васил Коларов"" № 23",vkstrandja@mail.bg,0899806042,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Бултекс 2013,,Bulgaria,"ул. ""Парижка комуна"" № 18Б, ет. 1, ап. 4",bultex2013@abv.bg; angelov1947@abv.bg,0897904302,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ОСЪМ - ЛОВЕЧ,,Bulgaria,"ж.к. Младост, бл. 328, вх. Г, ап. 17",vkosamlovech@abv.bg,0883219828,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Металург,,Bulgaria,"ж.к. Мошино, ул. ""Младен Стоянов"", бл. 2, вх. Е, ет. 4, ап. 132",metalurgvolley@abv.bg,0898516740,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Царево,,Bulgaria,"ул. ""Рибарска'' №2А",vkcarevo1949@abv.bg,0889441009,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Раковски - Димитровград,,Bulgaria,"Спортна зала ""Младост"", бул. ""Стефан Стамболов"" №1",rakovskivk@abv.bg,0899943743,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Ботев (Лук),,Bulgaria,"ул. ""Христо Ботев"" № 24",toni_chi@mail.bg,0878203274,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Вел Волей,,Bulgaria,"ул. Георги Измирлиев № 13А, вх. Б, ет. 5, ап. 11",vel333volley@gmail.com,0884127120,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Крепост Хисаря,,Bulgaria,ул. Хайдут Генчо № 9,badovnasko@gmail.com;,0876235510,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Павликени,,Bulgaria,"бул. ""Раковски"" № 2",gosho_volley@abv.bg,0888297361,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Локомотив 1929 Нидо,,Bulgaria,"ж. к. Надежда, бул. ""Рожен"" № 23, Стадион ""Локомотив""",lokomotiv_1929_vrabnica@abv.bg,0888803687,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Феникс 2024,,Bulgaria,"ул. ""Житен клас"" № 44",pramatarova89@gmail.com,0894577109,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК КАРЛОВО ВОЛЕЙ,,Bulgaria,"ул. ""Генерал Карцов"" № 78, вх. Б, ет. 1, ап. 1",karlovovolley@gmail.com,0884908793,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Айтос,,Bulgaria,"ул. ""Славянска"" № 13А",aitos_vk@abv.bg,0887975283,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Барутов Волей,,Bulgaria,"ул. ""Мърфи"" № 2, вх. 1, ет. 2, ап. 5",barutvolley@yahoo.com,0887915030,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Тунджа,,Bulgaria,"Спортна зала ""Диана""",yambol_voley@abv.bg,0884384848,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Въча,,Bulgaria,"ул. ""Цветан Зангов"" № 3",kafedziev_s@abv.bg,0897252223,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Дунав,,Bulgaria,"ж.к. Здравец, Стадион ""Дунав"",Ул. “Околчица” 7",skv_dunav@abv.bg,0886373444,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Монтана Волей,,Bulgaria,"Спортен комплекс ""Огоста""",montanavolley2018@abv.bg,0884721542,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ОСК Вършец,,Bulgaria,"бул. ""България"" № 10, зала Арена Вършец",kpm@mail.bg; kostapm@mail.bg,0886302340,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Тони Спорт,,Bulgaria,"ж. к. Изгрев, бл. 3 е .4 ап.7",tonypam@abv.bg;tonysport@abv.bg,0888006050,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Миньор,,Bulgaria,"ул. ""Кракра"" № 59, Спортна зала “Борис Гюдеров” кв. “Проучване”",minyor_volley@abv.bg,0878690153,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК  Нике,,Bulgaria,"ул. ""Огоста"" №15",vk_nike@abv.bg,0877777688,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Козлодуй - мъже,,Bulgaria,"Спортна зала ""Христо Ботев""",vk.kozloduy@abv.bg,0876387999,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Асеновец,,Bulgaria,"пл. ""Акад. Николай Хайтов"" № 2",kmomchilovlenovo@abv.bg,0894628508,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Бургос Волей,,Bulgaria,"ж.к. Славейков, бл. 130, партер",burgosvolley@gmail.com,0899187642,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Ботев (Врц),,Bulgaria,"пл. ""Христо Ботев"" № 18",skv.botev@gmail.com,0888615836,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Волов 2020,,Bulgaria,"ул. ""Харалан Ангелов"" №25",vkvolov2020@gmail.com;info@volov2020.com,0889399808,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Троян Волей,,Bulgaria,"ул. ""Захарий Зограф"" № 31",info@troyanvolley.com,0878562607,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Любимец 2010,,Bulgaria,"ул. ""Републиканска"" № 2",h.hristozov@lyubimets.org,0888790310,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Дея Спорт,,Bulgaria,"ж.к. Зорница, бл. 15",deqsport@abv.bg,0888305819,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СВК СПАРТАК ВАРНА,,Bulgaria,"бул. ""Княз Борис"" № 115, офис 325",vcspartakvarna@gmail.com,0878808537,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ПИРИН-РАЗЛОГ,,Bulgaria,"ул. ""Опълченска"" № 4",vk_pirinrazlog@mail.bg,0888292330,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СВК Арда - Кърджали,,Bulgaria,"ул. ""Републиканска"" № 33, Спортна зала ""Арпезос""",vk_arda@abv.bg,0887358089,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ПСК ЛОКОМОТИВ,,Bulgaria,"бул. ""Васил Левски"" № 102",mpaliiski@gmail.com,0887013785,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Торо - Волей,,Bulgaria,"бул. ""Владислав Варненчик"" № 90, ап. 8",varna.toro.volley@gmail.com,0887875395,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Септември - Про Синема,,Bulgaria,"жк. Красна поляна, спортна зала Септември, стадион Септември",luchian_stoichkov@abv.bg,0888207865,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Хебър - Пазарджик,,Bulgaria,"ул. ""Цар Освободител"" № 105",hebarvolley@abv.bg,0887420048,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Царевец - 19,,Bulgaria,"ул. ""Васил Златарски"" № 5-А, зала Юнак",diana_volei@abv.bg; vt_marina@abv.bg,0895149829,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ Берое,,Bulgaria,"ул. ""Л. Каравелов"" №53, вх. А, ет. 9, ап. 64, Спортна зала Иван Вазов - ул. Гурко 102",vkberoe@abv.bg,0897959437,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЕЛИТ,,Bulgaria,"ул. ""Осъм"" № 48",vkelit_ss@abv.bg,0887694731,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Етрополе,,Bulgaria,"бул. ""Партизански"" 31, Спортна зала",vketropole@abv.bg,0878706737,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Берое 2016,,Bulgaria,"ул. ""Генерал Гурко"" № 102, Спортна зала ""Иван Вазов""",vk.beroe2016@abv.bg,0887384259,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Академик Варна,,Bulgaria,"ул. ""Александър Рачински"" бл. 1, ет. 2, ап. 5",akademikvarna@gmail.com,0890550709,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК КОКО ВОЛЕЙ 2016,,Bulgaria,"ул. ""3"" № 2",danniboy_den@yahoo.com,0888820557,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Яворов,,Bulgaria,"ул. ""Яворов"" № 6, СУ Пейо Крачолов",vcyavorov@abv.bg,0888817376,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
